pid,event,time,time2,fac_fin,fac_race,fac_wexp,fac_mar,fac_paro,fac_prio,fac_educ,fac_emp,num_age
1,1,0,20,no,black,no,not married,yes,3,3,0,27
2,0,0,9,no,black,no,not married,yes,8,4,0,18
2,0,9,14,no,black,no,not married,yes,8,4,1,18
2,1,14,17,no,black,no,not married,yes,8,4,0,18
3,0,0,16,no,other,yes,not married,yes,13,3,0,19
3,0,16,17,no,other,yes,not married,yes,13,3,1,19
3,1,17,25,no,other,yes,not married,yes,13,3,0,19
4,0,0,4,yes,black,yes,married,yes,1,5,0,23
4,0,4,21,yes,black,yes,married,yes,1,5,1,23
4,0,21,31,yes,black,yes,married,yes,1,5,0,23
4,0,31,52,yes,black,yes,married,yes,1,5,1,23
5,0,0,9,no,other,yes,not married,yes,3,3,0,19
5,0,9,34,no,other,yes,not married,yes,3,3,1,19
5,0,34,52,no,other,yes,not married,yes,3,3,0,19
6,0,0,4,no,black,yes,not married,no,2,4,0,24
6,0,4,10,no,black,yes,not married,no,2,4,1,24
6,0,10,22,no,black,yes,not married,no,2,4,0,24
6,0,22,29,no,black,yes,not married,no,2,4,1,24
6,0,29,52,no,black,yes,not married,no,2,4,0,24
7,0,0,22,no,black,yes,married,yes,0,4,1,25
7,1,22,23,no,black,yes,married,yes,0,4,0,25
8,0,0,19,yes,black,yes,not married,yes,4,3,0,21
8,0,19,21,yes,black,yes,not married,yes,4,3,1,21
8,0,21,23,yes,black,yes,not married,yes,4,3,0,21
8,0,23,25,yes,black,yes,not married,yes,4,3,1,21
8,0,25,52,yes,black,yes,not married,yes,4,3,0,21
9,0,0,15,no,black,no,not married,no,6,3,0,22
9,0,15,22,no,black,no,not married,no,6,3,1,22
9,0,22,37,no,black,no,not married,no,6,3,0,22
9,0,37,52,no,black,no,not married,no,6,3,1,22
10,0,0,1,no,black,yes,not married,no,0,5,0,20
10,0,1,5,no,black,yes,not married,no,0,5,1,20
10,0,5,52,no,black,yes,not married,no,0,5,0,20
11,0,0,8,yes,black,no,not married,yes,3,3,0,26
11,0,8,18,yes,black,no,not married,yes,3,3,1,26
11,0,18,44,yes,black,no,not married,yes,3,3,0,26
11,0,44,52,yes,black,no,not married,yes,3,3,1,26
12,0,0,4,no,black,yes,not married,no,2,5,0,40
12,0,4,52,no,black,yes,not married,no,2,5,1,40
13,0,0,27,no,black,yes,not married,yes,5,3,0,17
13,0,27,29,no,black,yes,not married,yes,5,3,1,17
13,1,29,37,no,black,yes,not married,yes,5,3,0,17
14,0,0,18,no,black,yes,not married,no,2,3,0,37
14,0,18,52,no,black,yes,not married,no,2,3,1,37
15,0,0,14,no,black,no,not married,yes,3,4,0,20
15,0,14,23,no,black,no,not married,yes,3,4,1,20
15,1,23,25,no,black,no,not married,yes,3,4,0,20
16,0,0,1,yes,black,yes,not married,yes,2,3,0,22
16,0,1,45,yes,black,yes,not married,yes,2,3,1,22
16,1,45,46,yes,black,yes,not married,yes,2,3,0,22
17,0,0,13,no,black,no,not married,no,7,3,0,19
17,0,13,18,no,black,no,not married,no,7,3,1,19
17,1,18,28,no,black,no,not married,no,7,3,0,19
18,0,0,14,no,black,no,not married,no,2,3,0,20
18,0,14,33,no,black,no,not married,no,2,3,1,20
18,0,33,52,no,black,no,not married,no,2,3,0,20
19,0,0,11,no,black,no,not married,yes,12,3,0,25
19,0,11,22,no,black,no,not married,yes,12,3,1,25
19,0,22,31,no,black,no,not married,yes,12,3,0,25
19,0,31,52,no,black,no,not married,yes,12,3,1,25
20,0,0,1,no,other,yes,not married,yes,1,3,0,24
20,0,1,3,no,other,yes,not married,yes,1,3,1,24
20,0,3,8,no,other,yes,not married,yes,1,3,0,24
20,0,8,14,no,other,yes,not married,yes,1,3,1,24
20,0,14,17,no,other,yes,not married,yes,1,3,0,24
20,0,17,28,no,other,yes,not married,yes,1,3,1,24
20,0,28,52,no,other,yes,not married,yes,1,3,0,24
21,0,0,30,no,black,no,not married,yes,4,3,0,23
21,0,30,33,no,black,no,not married,yes,4,3,1,23
21,0,33,51,no,black,no,not married,yes,4,3,0,23
21,0,51,52,no,black,no,not married,yes,4,3,1,23
22,0,0,1,yes,black,yes,married,yes,0,3,0,44
22,0,1,52,yes,black,yes,married,yes,0,3,1,44
23,1,0,24,yes,black,yes,not married,yes,2,4,0,29
24,0,0,3,yes,other,yes,not married,yes,1,3,1,28
24,0,3,5,yes,other,yes,not married,yes,1,3,0,28
24,0,5,29,yes,other,yes,not married,yes,1,3,1,28
24,0,29,41,yes,other,yes,not married,yes,1,3,0,28
24,0,41,52,yes,other,yes,not married,yes,1,3,1,28
25,0,0,17,yes,black,yes,not married,no,0,4,0,21
25,0,17,18,yes,black,yes,not married,no,0,4,1,21
25,0,18,21,yes,black,yes,not married,no,0,4,0,21
25,0,21,22,yes,black,yes,not married,no,0,4,1,21
25,0,22,25,yes,black,yes,not married,no,0,4,0,21
25,0,25,38,yes,black,yes,not married,no,0,4,1,21
25,0,38,52,yes,black,yes,not married,no,0,4,0,21
26,0,0,4,yes,black,yes,not married,yes,2,3,0,19
26,0,4,7,yes,black,yes,not married,yes,2,3,1,19
26,0,7,17,yes,black,yes,not married,yes,2,3,0,19
26,0,17,52,yes,black,yes,not married,yes,2,3,1,19
27,0,0,2,no,black,yes,not married,yes,1,4,0,33
27,0,2,52,no,black,yes,not married,yes,1,4,1,33
28,0,0,52,no,black,no,not married,no,2,3,0,19
29,0,0,17,yes,black,no,not married,yes,3,3,1,19
29,0,17,35,yes,black,no,not married,yes,3,3,0,19
29,0,35,52,yes,black,no,not married,yes,3,3,1,19
30,0,0,34,yes,black,yes,married,yes,9,3,1,23
30,0,34,40,yes,black,yes,married,yes,9,3,0,23
30,0,40,52,yes,black,yes,married,yes,9,3,1,23
31,0,0,7,yes,black,no,not married,yes,3,5,0,23
31,0,7,15,yes,black,no,not married,yes,3,5,1,23
31,0,15,52,yes,black,no,not married,yes,3,5,0,23
32,0,0,1,yes,black,no,not married,yes,1,3,0,19
32,0,1,52,yes,black,no,not married,yes,1,3,1,19
33,0,0,2,yes,black,yes,not married,no,0,5,0,42
33,0,2,6,yes,black,yes,not married,no,0,5,1,42
33,0,6,9,yes,black,yes,not married,no,0,5,0,42
33,0,9,29,yes,black,yes,not married,no,0,5,1,42
33,0,29,52,yes,black,yes,not married,no,0,5,0,42
34,0,0,15,no,black,yes,married,no,2,4,0,23
34,0,15,18,no,black,yes,married,no,2,4,1,23
34,0,18,41,no,black,yes,married,no,2,4,0,23
34,0,41,51,no,black,yes,married,no,2,4,1,23
34,0,51,52,no,black,yes,married,no,2,4,0,23
35,0,0,4,no,black,yes,not married,no,3,4,0,24
35,0,4,52,no,black,yes,not married,no,3,4,1,24
36,0,0,2,yes,black,yes,not married,yes,2,3,0,20
36,0,2,6,yes,black,yes,not married,yes,2,3,1,20
36,0,6,10,yes,black,yes,not married,yes,2,3,0,20
36,0,10,15,yes,black,yes,not married,yes,2,3,1,20
36,0,15,20,yes,black,yes,not married,yes,2,3,0,20
36,1,20,50,yes,black,yes,not married,yes,2,3,1,20
37,0,0,19,no,black,yes,not married,yes,5,3,1,22
37,0,19,26,no,black,yes,not married,yes,5,3,0,22
37,0,26,35,no,black,yes,not married,yes,5,3,1,22
37,0,35,52,no,black,yes,not married,yes,5,3,0,22
38,0,0,19,no,black,yes,not married,no,2,3,0,27
38,0,19,23,no,black,yes,not married,no,2,3,1,27
38,0,23,39,no,black,yes,not married,no,2,3,0,27
38,0,39,52,no,black,yes,not married,no,2,3,1,27
39,0,0,2,yes,black,no,not married,no,4,3,1,19
39,0,2,52,yes,black,no,not married,no,4,3,0,19
40,0,0,52,no,black,yes,not married,yes,3,3,0,28
41,0,0,1,yes,black,yes,married,no,9,3,0,33
41,0,1,6,yes,black,yes,married,no,9,3,1,33
41,0,6,13,yes,black,yes,married,no,9,3,0,33
41,0,13,20,yes,black,yes,married,no,9,3,1,33
41,0,20,28,yes,black,yes,married,no,9,3,0,33
41,0,28,47,yes,black,yes,married,no,9,3,1,33
41,0,47,52,yes,black,yes,married,no,9,3,0,33
42,0,0,20,no,black,yes,not married,yes,1,4,0,24
42,0,20,28,no,black,yes,not married,yes,1,4,1,24
42,0,28,52,no,black,yes,not married,yes,1,4,0,24
43,0,0,6,no,black,no,not married,yes,14,3,0,21
43,1,6,10,no,black,no,not married,yes,14,3,1,21
44,0,0,3,no,black,no,not married,yes,2,3,0,22
44,0,3,11,no,black,no,not married,yes,2,3,1,22
44,0,11,30,no,black,no,not married,yes,2,3,0,22
44,0,30,52,no,black,no,not married,yes,2,3,1,22
45,0,0,12,yes,black,no,not married,yes,2,4,0,19
45,0,12,18,yes,black,no,not married,yes,2,4,1,19
45,0,18,52,yes,black,no,not married,yes,2,4,0,19
46,0,0,17,yes,black,no,not married,no,2,4,0,22
46,0,17,52,yes,black,no,not married,no,2,4,1,22
47,0,0,15,yes,black,no,not married,no,15,3,0,22
47,0,15,35,yes,black,no,not married,no,15,3,1,22
47,0,35,42,yes,black,no,not married,no,15,3,0,22
47,0,42,46,yes,black,no,not married,no,15,3,1,22
47,0,46,52,yes,black,no,not married,no,15,3,0,22
48,0,0,2,yes,black,yes,not married,yes,5,3,0,23
48,0,2,5,yes,black,yes,not married,yes,5,3,1,23
48,0,5,7,yes,black,yes,not married,yes,5,3,0,23
48,1,7,20,yes,black,yes,not married,yes,5,3,1,23
49,0,0,3,no,black,yes,married,yes,2,2,1,32
49,0,3,12,no,black,yes,married,yes,2,2,0,32
49,0,12,52,no,black,yes,married,yes,2,2,1,32
50,0,0,8,yes,black,yes,not married,yes,0,4,0,27
50,0,8,52,yes,black,yes,not married,yes,0,4,1,27
51,0,0,1,yes,black,yes,not married,no,0,3,0,36
51,0,1,52,yes,black,yes,not married,no,0,3,1,36
52,0,0,3,yes,black,yes,not married,yes,1,4,0,22
52,0,3,13,yes,black,yes,not married,yes,1,4,1,22
52,0,13,52,yes,black,yes,not married,yes,1,4,0,22
53,0,0,2,yes,black,yes,not married,yes,1,3,0,32
53,0,2,3,yes,black,yes,not married,yes,1,3,1,32
53,0,3,24,yes,black,yes,not married,yes,1,3,0,32
53,0,24,52,yes,black,yes,not married,yes,1,3,1,32
54,1,0,50,yes,black,yes,not married,no,10,3,1,19
55,0,0,5,no,black,yes,married,yes,1,5,0,28
55,0,5,14,no,black,yes,married,yes,1,5,1,28
55,0,14,22,no,black,yes,married,yes,1,5,0,28
55,0,22,52,no,black,yes,married,yes,1,5,1,28
56,0,0,52,no,other,yes,not married,no,3,2,0,32
57,0,0,4,no,black,yes,married,yes,1,4,0,33
57,0,4,11,no,black,yes,married,yes,1,4,1,33
57,0,11,18,no,black,yes,married,yes,1,4,0,33
57,0,18,39,no,black,yes,married,yes,1,4,1,33
57,0,39,52,no,black,yes,married,yes,1,4,0,33
58,0,0,4,no,black,no,not married,yes,1,2,0,26
58,0,4,5,no,black,no,not married,yes,1,2,1,26
58,0,5,29,no,black,no,not married,yes,1,2,0,26
58,0,29,52,no,black,no,not married,yes,1,2,1,26
59,0,0,7,yes,black,yes,not married,yes,0,3,0,20
59,0,7,8,yes,black,yes,not married,yes,0,3,1,20
59,0,8,9,yes,black,yes,not married,yes,0,3,0,20
59,0,9,11,yes,black,yes,not married,yes,0,3,1,20
59,0,11,22,yes,black,yes,not married,yes,0,3,0,20
59,0,22,52,yes,black,yes,not married,yes,0,3,1,20
60,0,0,20,yes,black,yes,not married,no,9,4,0,42
60,0,20,52,yes,black,yes,not married,no,9,4,1,42
61,1,0,6,no,black,no,not married,no,6,3,0,19
62,0,0,6,no,black,yes,not married,no,2,4,0,22
62,0,6,9,no,black,yes,not married,no,2,4,1,22
62,0,9,20,no,black,yes,not married,no,2,4,0,22
62,0,20,33,no,black,yes,not married,no,2,4,1,22
62,0,33,52,no,black,yes,not married,no,2,4,0,22
63,0,0,12,no,black,no,not married,yes,5,4,0,22
63,0,12,16,no,black,no,not married,yes,5,4,1,22
63,0,16,28,no,black,no,not married,yes,5,4,0,22
63,0,28,30,no,black,no,not married,yes,5,4,1,22
63,0,30,52,no,black,no,not married,yes,5,4,0,22
64,0,0,37,no,black,no,not married,no,11,3,0,36
64,0,37,41,no,black,no,not married,no,11,3,1,36
64,0,41,52,no,black,no,not married,no,11,3,0,36
65,0,0,5,no,black,yes,not married,no,2,4,0,23
65,0,5,6,no,black,yes,not married,no,2,4,1,23
65,0,6,39,no,black,yes,not married,no,2,4,0,23
65,0,39,41,no,black,yes,not married,no,2,4,1,23
65,1,41,52,no,black,yes,not married,no,2,4,0,23
66,0,0,2,yes,black,yes,not married,yes,3,3,0,27
66,0,2,20,yes,black,yes,not married,yes,3,3,1,27
66,0,20,46,yes,black,yes,not married,yes,3,3,0,27
66,0,46,52,yes,black,yes,not married,yes,3,3,1,27
67,0,0,17,yes,black,no,not married,yes,1,3,0,21
67,0,17,52,yes,black,no,not married,yes,1,3,1,21
68,0,0,3,yes,black,yes,not married,yes,2,3,0,22
68,0,3,4,yes,black,yes,not married,yes,2,3,1,22
68,0,4,52,yes,black,yes,not married,yes,2,3,0,22
69,0,0,5,no,black,yes,not married,yes,3,2,0,35
69,0,5,8,no,black,yes,not married,yes,3,2,1,35
69,0,8,37,no,black,yes,not married,yes,3,2,0,35
69,0,37,39,no,black,yes,not married,yes,3,2,1,35
69,1,39,49,no,black,yes,not married,yes,3,2,0,35
70,0,0,18,no,black,yes,not married,yes,4,3,0,21
70,0,18,22,no,black,yes,not married,yes,4,3,1,21
70,0,22,52,no,black,yes,not married,yes,4,3,0,21
71,0,0,1,yes,black,yes,not married,yes,5,3,0,25
71,0,1,8,yes,black,yes,not married,yes,5,3,1,25
71,0,8,10,yes,black,yes,not married,yes,5,3,0,25
71,0,10,13,yes,black,yes,not married,yes,5,3,1,25
71,0,13,16,yes,black,yes,not married,yes,5,3,0,25
71,0,16,27,yes,black,yes,not married,yes,5,3,1,25
71,0,27,52,yes,black,yes,not married,yes,5,3,0,25
72,0,0,5,no,black,no,not married,yes,0,3,0,18
72,0,5,13,no,black,no,not married,yes,0,3,1,18
72,0,13,52,no,black,no,not married,yes,0,3,0,18
73,0,0,24,yes,black,yes,not married,yes,2,4,0,26
73,0,24,52,yes,black,yes,not married,yes,2,4,1,26
74,0,0,14,no,black,yes,not married,no,4,2,0,30
74,0,14,43,no,black,yes,not married,no,4,2,1,30
74,0,43,49,no,black,yes,not married,no,4,2,0,30
74,0,49,52,no,black,yes,not married,no,4,2,1,30
75,0,0,12,no,black,no,not married,yes,2,4,0,20
75,0,12,33,no,black,no,not married,yes,2,4,1,20
75,0,33,40,no,black,no,not married,yes,2,4,0,20
75,0,40,52,no,black,no,not married,yes,2,4,1,20
76,0,0,52,yes,black,yes,not married,yes,1,4,1,43
77,0,0,2,no,black,yes,married,yes,4,3,1,23
77,0,2,8,no,black,yes,married,yes,4,3,0,23
77,0,8,26,no,black,yes,married,yes,4,3,1,23
77,1,26,43,no,black,yes,married,yes,4,3,0,23
78,0,0,1,no,other,yes,not married,no,2,6,0,42
78,0,1,52,no,other,yes,not married,no,2,6,1,42
79,0,0,52,no,other,no,not married,no,2,3,0,21
80,1,0,5,no,black,no,not married,no,3,3,0,19
81,1,0,27,no,black,no,not married,no,4,3,0,29
82,0,0,52,no,black,yes,not married,yes,3,2,0,30
83,0,0,28,yes,other,yes,married,yes,10,3,0,21
83,0,28,52,yes,other,yes,married,yes,10,3,1,21
84,0,0,4,no,black,no,not married,yes,7,3,0,20
84,0,4,6,no,black,no,not married,yes,7,3,1,20
84,0,6,52,no,black,no,not married,yes,7,3,0,20
85,0,0,4,yes,black,no,not married,yes,10,3,0,19
85,0,4,11,yes,black,no,not married,yes,10,3,1,19
85,0,11,17,yes,black,no,not married,yes,10,3,0,19
85,0,17,18,yes,black,no,not married,yes,10,3,1,19
85,1,18,22,yes,black,no,not married,yes,10,3,0,19
86,0,0,52,yes,black,yes,not married,yes,1,5,0,22
87,0,0,35,no,black,no,not married,yes,3,3,0,25
87,0,35,39,no,black,no,not married,yes,3,3,1,25
87,0,39,52,no,black,no,not married,yes,3,3,0,25
88,1,0,18,no,black,no,not married,no,4,4,1,22
89,0,0,8,yes,black,yes,not married,yes,4,3,0,22
89,0,8,11,yes,black,yes,not married,yes,4,3,1,22
89,0,11,16,yes,black,yes,not married,yes,4,3,0,22
89,0,16,19,yes,black,yes,not married,yes,4,3,1,22
89,0,19,28,yes,black,yes,not married,yes,4,3,0,22
89,0,28,41,yes,black,yes,not married,yes,4,3,1,22
89,0,41,52,yes,black,yes,not married,yes,4,3,0,22
90,0,0,4,yes,black,no,not married,yes,2,4,0,24
90,0,4,5,yes,black,no,not married,yes,2,4,1,24
90,0,5,9,yes,black,no,not married,yes,2,4,0,24
90,0,9,49,yes,black,no,not married,yes,2,4,1,24
90,0,49,52,yes,black,no,not married,yes,2,4,0,24
91,0,0,52,no,black,yes,married,yes,4,3,1,39
92,0,0,28,no,black,yes,not married,yes,1,3,0,21
92,0,28,33,no,black,yes,not married,yes,1,3,1,21
92,0,33,38,no,black,yes,not married,yes,1,3,0,21
92,0,38,41,no,black,yes,not married,yes,1,3,1,21
92,0,41,43,no,black,yes,not married,yes,1,3,0,21
92,0,43,52,no,black,yes,not married,yes,1,3,1,21
93,0,0,3,yes,black,yes,not married,yes,2,3,0,20
93,0,3,7,yes,black,yes,not married,yes,2,3,1,20
93,0,7,11,yes,black,yes,not married,yes,2,3,0,20
93,0,11,14,yes,black,yes,not married,yes,2,3,1,20
93,0,14,16,yes,black,yes,not married,yes,2,3,0,20
93,0,16,52,yes,black,yes,not married,yes,2,3,1,20
94,0,0,12,yes,black,no,not married,no,1,3,0,24
94,0,12,13,yes,black,no,not married,no,1,3,1,24
94,0,13,16,yes,black,no,not married,no,1,3,0,24
94,0,16,52,yes,black,no,not married,no,1,3,1,24
95,0,0,1,no,black,yes,not married,yes,2,6,0,25
95,0,1,14,no,black,yes,not married,yes,2,6,1,25
95,0,14,52,no,black,yes,not married,yes,2,6,0,25
96,1,0,24,yes,black,yes,not married,no,4,3,0,21
97,0,0,11,yes,black,no,not married,yes,1,3,0,20
97,0,11,12,yes,black,no,not married,yes,1,3,1,20
97,0,12,27,yes,black,no,not married,yes,1,3,0,20
97,0,27,52,yes,black,no,not married,yes,1,3,1,20
98,0,0,21,yes,black,no,not married,yes,3,4,0,19
98,0,21,22,yes,black,no,not married,yes,3,4,1,19
98,0,22,26,yes,black,no,not married,yes,3,4,0,19
98,0,26,27,yes,black,no,not married,yes,3,4,1,19
98,0,27,42,yes,black,no,not married,yes,3,4,0,19
98,0,42,43,yes,black,no,not married,yes,3,4,1,19
98,0,43,52,yes,black,no,not married,yes,3,4,0,19
99,0,0,15,yes,black,no,not married,no,2,4,0,24
99,0,15,16,yes,black,no,not married,no,2,4,1,24
99,0,16,40,yes,black,no,not married,no,2,4,0,24
99,0,40,52,yes,black,no,not married,no,2,4,1,24
100,0,0,4,yes,black,yes,not married,yes,1,4,0,24
100,0,4,9,yes,black,yes,not married,yes,1,4,1,24
100,0,9,14,yes,black,yes,not married,yes,1,4,0,24
100,0,14,52,yes,black,yes,not married,yes,1,4,1,24
101,1,0,2,no,black,yes,not married,yes,2,5,0,44
102,0,0,1,no,black,yes,not married,no,2,4,0,32
102,1,1,26,no,black,yes,not married,no,2,4,1,32
103,0,0,5,no,black,yes,not married,no,3,3,0,23
103,0,5,9,no,black,yes,not married,no,3,3,1,23
103,0,9,20,no,black,yes,not married,no,3,3,0,23
103,0,20,23,no,black,yes,not married,no,3,3,1,23
103,0,23,52,no,black,yes,not married,no,3,3,0,23
104,0,0,17,yes,black,no,not married,yes,1,4,0,19
104,0,17,38,yes,black,no,not married,yes,1,4,1,19
104,1,38,49,yes,black,no,not married,yes,1,4,0,19
105,0,0,50,no,black,no,not married,yes,1,3,0,20
105,0,50,52,no,black,no,not married,yes,1,3,1,20
106,0,0,3,no,black,yes,not married,yes,0,3,0,27
106,0,3,13,no,black,yes,not married,yes,0,3,1,27
106,1,13,21,no,black,yes,not married,yes,0,3,0,27
107,0,0,10,no,black,no,not married,no,6,3,0,19
107,0,10,17,no,black,no,not married,no,6,3,1,19
107,1,17,48,no,black,no,not married,no,6,3,0,19
